tipo,modulo,simbolo_contrato,assinatura_campos,linha,confianca,consumo_relacao
function,calibrar_mapa_gen.py,carrega_manual,(path),37,EXTRACTED,defines
function,calibrar_mapa_gen.py,acha_md,"(base, nome)",44,EXTRACTED,defines
function,calibrar_mapa_gen.py,resolve,"(ancora, paragrafos)",49,EXTRACTED,defines
function,calibrar_mapa_gen.py,cobre,"(manuais, gerados, paragrafos)",63,EXTRACTED,defines
function,calibrar_mapa_gen.py,main,(),77,EXTRACTED,defines
function,forja_adocao_rota.py,_sha_arquivo,(caminho),59,EXTRACTED,defines
function,forja_adocao_rota.py,_entregas,(limite),70,EXTRACTED,defines
function,forja_adocao_rota.py,_caminho_alvo,"(valor, marcador)",122,EXTRACTED,defines
function,forja_adocao_rota.py,_alvo_do_marcador,(dados),145,EXTRACTED,defines
function,forja_adocao_rota.py,_marca_aplica,"(marcador, docx)",155,EXTRACTED,defines
function,forja_adocao_rota.py,_marcas_do_docx,(caminho),177,EXTRACTED,defines
function,forja_adocao_rota.py,medir,(limite = <default>),185,EXTRACTED,defines
function,forja_adocao_rota.py,main,(),222,EXTRACTED,defines
cli-command,forja_adocao_rota.py,<global>,"--ultimas, --json",224,EXTRACTED,accepts_option
function,forja_adversarial_audit.py,mandatory_prompt_for_phase,(phase: str) -> str,96,EXTRACTED,defines
function,forja_adversarial_audit.py,response_product_required,(text: str) -> bool,102,EXTRACTED,defines
function,forja_adversarial_audit.py,_official_url,(value: object) -> bool,108,EXTRACTED,defines
function,forja_adversarial_audit.py,_citation_id,(index: int) -> str,116,EXTRACTED,defines
function,forja_adversarial_audit.py,initialize_audit,"(source: Path, *, applicable: bool = <default>, reason: str = <default>) -> dict",120,EXTRACTED,defines
function,forja_adversarial_audit.py,_validate_source,"(payload: dict, source_path: Path | None, p0: list[str]) -> None",184,EXTRACTED,defines
function,forja_adversarial_audit.py,_validate_inventory_completeness,"(payload: dict, source_path: Path | None, p0: list[str]) -> None",194,EXTRACTED,defines
function,forja_adversarial_audit.py,validate_adversarial_audit,"(payload: dict, *, source_path: Path | None = <default>) -> dict",206,EXTRACTED,defines
function,forja_adversarial_audit.py,validate_adversarial_strategy,"(payload: dict, audit_path: Path) -> dict",344,EXTRACTED,defines
function,forja_adversarial_audit.py,validate_adversarial_recheck,"(payload: dict, audit_path: Path, strategy_path: Path) -> dict",403,EXTRACTED,defines
function,forja_adversarial_audit.py,validate_phase_artifacts,"(phase: str, artifacts: dict[str, Path], inputs: dict[str, dict]) -> list[str]",456,EXTRACTED,defines
function,forja_adversarial_audit.py,main,() -> None,482,EXTRACTED,defines
cli-command,forja_adversarial_audit.py,<global>,,486,EXTRACTED,accepts_option
cli-command,forja_adversarial_audit.py,init,"source, output",485,EXTRACTED,accepts_option
cli-command,forja_adversarial_audit.py,not-applicable,"output, --reason",488,EXTRACTED,accepts_option
cli-command,forja_adversarial_audit.py,prompt,phase,495,EXTRACTED,accepts_option
